index,label,drift,s_5,s_10,s_20,s_50
329,NORMAL,1.388698,0.000000,0.000000,0.150000,0.140000
330,NORMAL,1.285921,0.000000,0.000000,0.000000,0.020000
331,NORMAL,1.425425,0.000000,0.000000,0.000000,0.260000
332,NORMAL,1.431227,0.000000,0.000000,0.000000,0.180000
333,NORMAL,1.418607,0.200000,0.100000,0.100000,0.140000
334,NORMAL,1.430492,0.200000,0.200000,0.250000,0.180000
335,NORMAL,1.399966,0.200000,0.100000,0.100000,0.220000
336,NORMAL,1.403218,0.200000,0.100000,0.300000,0.320000
337,NORMAL,1.382191,0.000000,0.200000,0.100000,0.140000
338,NORMAL,1.408179,0.000000,0.000000,0.050000,0.180000
339,NORMAL,1.404994,0.000000,0.100000,0.200000,0.220000
340,NORMAL,1.415970,0.000000,0.000000,0.250000,0.200000
341,NORMAL,1.411360,0.000000,0.000000,0.000000,0.140000
342,NORMAL,1.421758,0.000000,0.100000,0.150000,0.240000
343,NORMAL,1.410184,0.000000,0.000000,0.050000,0.120000
344,NORMAL,1.445859,0.000000,0.000000,0.100000,0.060000
345,NORMAL,1.410398,0.000000,0.100000,0.100000,0.140000
346,NORMAL,1.404229,0.000000,0.100000,0.100000,0.300000
347,NORMAL,1.412562,0.000000,0.000000,0.200000,0.220000
348,NORMAL,1.416054,0.000000,0.000000,0.050000,0.060000
349,NORMAL,1.382367,0.000000,0.100000,0.150000,0.100000
350,NORMAL,1.436002,0.000000,0.000000,0.100000,0.120000
351,NORMAL,1.414803,0.200000,0.100000,0.050000,0.080000
352,NORMAL,1.427876,0.000000,0.000000,0.100000,0.140000
353,NORMAL,1.420340,0.200000,0.100000,0.050000,0.140000
354,NORMAL,1.389649,0.000000,0.000000,0.000000,0.100000
355,NORMAL,1.401047,0.000000,0.100000,0.150000,0.200000
356,NORMAL,1.404816,0.000000,0.000000,0.050000,0.140000
357,NORMAL,1.404991,0.200000,0.200000,0.250000,0.300000
358,NORMAL,1.078240,0.000000,0.000000,0.000000,0.040000
359,NORMAL,1.409573,0.000000,0.000000,0.200000,0.380000
360,NORMAL,1.387636,0.000000,0.100000,0.100000,0.160000
361,NORMAL,1.404745,0.200000,0.100000,0.100000,0.180000
362,NORMAL,1.384094,0.200000,0.400000,0.200000,0.180000
363,NORMAL,1.397216,0.400000,0.300000,0.400000,0.440000
364,NORMAL,1.375086,0.000000,0.000000,0.050000,0.180000
365,NORMAL,1.445533,0.000000,0.000000,0.100000,0.120000
366,NORMAL,1.415794,0.000000,0.100000,0.200000,0.220000
367,NORMAL,1.453478,0.200000,0.100000,0.100000,0.180000
368,NORMAL,1.404162,0.400000,0.200000,0.350000,0.260000
369,NORMAL,1.401908,0.200000,0.200000,0.200000,0.400000
